Time,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6
17-May-22 07:35:51 AM,17.5,20.2,23.0,19.1,19.0,18.7
17-May-22 07:35:51 AM,24.0,21.3,19.4,24.5,23.0,25.4
17-May-22 07:35:52 AM,12.8,16.4,13.7,14.7,15.6,17.8
17-May-22 07:35:52 AM,22.4,24.5,17.7,19.7,30.1,26.4
17-May-22 07:35:52 AM,21.2,21.1,22.4,13.6,15.6,12.9
17-May-22 07:35:53 AM,24.4,17.1,24.9,19.3,18.2,23.0
17-May-22 07:35:53 AM,31.7,35.9,26.5,35.8,46.0,25.2
17-May-22 07:35:53 AM,63.4,51.7,47.8,36.0,50.6,48.1
17-May-22 07:35:53 AM,81.2,88.6,90.9,67.9,89.3,81.7
17-May-22 07:35:54 AM,97.0,98.2,110.3,111.3,115.0,78.1
17-May-22 07:35:54 AM,107.6,128.9,110.8,156.8,124.7,116.4
17-May-22 07:35:54 AM,159.2,182.7,188.4,170.6,187.3,140.9
17-May-22 07:35:54 AM,164.9,235.8,165.6,226.1,289.6,254.8
17-May-22 07:35:55 AM,371.3,365.3,260.5,336.2,384.5,254.0
17-May-22 07:35:55 AM,443.9,269.0,350.0,351.1,418.8,436.9
17-May-22 07:35:55 AM,377.1,366.9,477.3,469.0,502.3,352.4
17-May-22 07:35:55 AM,607.7,576.2,648.7,563.7,462.6,381.5
17-May-22 07:35:56 AM,487.6,778.5,578.3,742.2,622.9,727.5
17-May-22 07:35:56 AM,659.4,515.9,474.3,617.6,550.3,753.8
17-May-22 07:35:56 AM,713.9,425.2,588.7,712.2,478.3,619.9
17-May-22 07:35:56 AM,712.0,459.7,566.5,681.7,547.9,506.0
17-May-22 07:35:57 AM,509.6,594.0,403.3,418.9,541.4,558.8
17-May-22 07:35:57 AM,290.5,280.7,335.5,351.3,291.9,379.9
17-May-22 07:35:57 AM,162.8,212.0,198.6,259.5,241.7,240.4
17-May-22 07:35:58 AM,51.3,63.3,60.8,63.4,49.2,52.8
17-May-22 07:35:58 AM,20.5,14.9,15.5,22.7,22.5,19.5
17-May-22 07:35:58 AM,29.1,29.4,30.4,29.6,30.1,29.9
17-May-22 07:35:58 AM,17.3,19.4,17.4,20.3,21.5,24.6
17-May-22 07:35:59 AM,21.3,20.1,16.2,21.9,20.1,16.9
17-May-22 07:35:59 AM,15.7,24.6,18.2,18.9,18.6,27.0
